Corpus,Distance,Angle_Deg,Sample_ID,Condition,SNR_dB,Noise_Power,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,Case_Seed,Saved_Audio,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,Runtime_sec,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,RMS_Scale_Reference,RMS_Scale_Factor,RMS_Before_Scale,Reference_RMS,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations,Supplement_Runtime_sec,Repeat_Independent_Baseline,Computed_From_Repeat,Computed_From_Case_Dir
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,BCI_ELp_p=1.0,MINT-E$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,-3.8962235465084176,0.049167769370811,-3,-0.0008634957843626,-0.650023534759991,-0.0008634957843626,0.0,152.78814243897796,84.28169276937842,15.734696822240949,1920000.0,936.0,noisy_observation,0.8471782769639594,0.0043466412506929,0.0036823800453424,,,,,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,BCI_Lp_p=1.0,MINT-$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,-2.812696934865345,0.5226748067809852,-2,-0.0001522520685646,-0.831790209927479,-2.8289797219400253e-06,-1.0,152.78814243897796,84.28169276937842,16.904806174337864,1920000.0,936.0,noisy_observation,0.8547042737448093,0.0043083674183685,0.0036823800453424,,,,,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,BCI_NMCFLMS,MINT-N,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,-8.051858938136139,-1.3087687596345556,-5,-0.0006586047907802,-0.0676033411903477,-0.0024197231876007,-1.0,152.78814243897796,84.28169276937842,19.211439350619912,1920000.0,936.0,noisy_observation,0.964989411268136,0.0038159797427241,0.0036823800453424,,,,,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,BCI_RNMCFLMS,MINT-R,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,-1.278201566530194,1.2894035847092722,-2,-0.0003570011425138,-1.7668050304482503,-0.0003570011425138,0.0,152.78814243897796,84.28169276937842,16.407322593033314,1920000.0,936.0,noisy_observation,0.8164611440978345,0.0045101718213564,0.0036823800453424,,,,,,,,
timit,1m,90,4,snr10,10.0,,,,12,2048,0.1,0.1,GWPE_K50_d2_i2,GWPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,,/hpc_stor01/home/yujie.xiong_sx/RIR-dereverb+CTF/floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,,,7.300309529174775,7.483158048409649,0,,,,,10.9280895050033,,,,,noisy_observation,0.037766915004697914,0.09756796949592964,0.0036848412111337332,,,,,42.807719721022295,True,1.0,/hpc_stor01/home/yujie.xiong_sx/RIR-dereverb+CTF/floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_1
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,Oracle_MINT,MINT-Reference,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,-5.356142724569849,-0.5050851243329977,-9,,,,,19.15079017356038,,19.15079017356038,,,noisy_observation,0.9448232832445026,0.0038974272868226,0.0036823800453424,0.1309576162017057,0.0437452125968925,442.9940751363632,146.0,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,Unprocessed_ch1,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,100.0,202.81053315260723,0,,,,,,,,,,,,,,,,,,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,Unprocessed_ch2,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,1.727511434045653,3.024756691399757,-1,,,,,,,,,,,,,,,,,,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,Unprocessed_ch3,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,0.6016598341059166,1.9714180812879063,-2,,,,,,,,,,,,,,,,,,,,,
timit,1m,90,4,snr10,10.0,1.2330003880197183e-06,floor4_room_data/original_10s_wav/1m_deg90_4.wav,floor4_room_data/sweep_groundtruth/1m_deg90_-1.wav,12,2048,0.1,0.1,Unprocessed_ch4,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,46.0,floor4_real_recording_repeat_table_L2048_rho01_timit_1m_noisy_snr5_10_no_ss_reg0p1_reg0p2_repeats_1_20_raw_only/1m/reg0p1/timit/sample_4/deg90/snr10/repeats_12,6948.0,raw_only,0.7238596967725699,2.635171891253595,-1,,,,,,,,,,,,,,,,,,,,,
