Corpus,Distance,Angle_Deg,Sample_ID,Condition,SNR_dB,Noise_Power,Observation_Path,RIR_Path,BCI_Obs_Repeats,BCI_L,BCI_Rho,MINT_Reg,Method,Method_Label,PESQ_Status,PESQ,DNSMOS_P808_Status,Case_Index,Case_Dir,Case_Seed,WeakRef_Projection_SDR_dB,WeakRef_SNR_dB,WeakRef_Alignment_Lag,RIR_NPM_dB,RIR_BestNPM_dB,RIR_NPM_aligned_dB,RIR_NPM_alignment_lag,Runtime_sec,BCI_Estimation_Runtime_sec,MINT_Runtime_sec,BCI_Input_Samples,BCI_Update_Blocks,RMS_Scale_Reference,RMS_Scale_Factor,RMS_Before_Scale,Reference_RMS,mint_residual_l2,mint_residual_linf,mint_filter_acond,mint_iterations,Supplement_Runtime_sec,Repeat_Independent_Baseline,Computed_From_Repeat,Computed_From_Case_Dir
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,BCI_ELp_p=1.0,MINT-E$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-8.146108079167902,-1.2228267214228938,-1,-0.0027384856992041,-0.4520897843131727,-0.0027384856992041,0.0,146.5952723696828,97.21958167292178,12.236037591472268,2400000.0,1170.0,noisy_observation,0.8902946792834312,0.0042725518358787,0.0038038301664454,,,,,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,BCI_Lp_p=1.0,MINT-$\ell_p$,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-5.449863774636863,-0.4274621370380922,0,-0.001280877499057,-0.7380398895362486,-0.001280877499057,0.0,146.5952723696828,97.21958167292178,12.886289026588202,2400000.0,1170.0,noisy_observation,0.8888207754622002,0.0042796368755753,0.0038038301664454,,,,,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,BCI_NMCFLMS,MINT-N,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-12.85951597783054,-2.101734649140491,-8,-9.997449474794895e-06,-0.0179534842617947,-0.0004032377064214,-2.0,146.5952723696828,97.21958167292178,12.572394976392388,2400000.0,1170.0,noisy_observation,1.807469608099435,0.0021045057407328,0.0038038301664454,,,,,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,BCI_RNMCFLMS,MINT-R,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-1.28585163669788,1.401110430269372,0,-0.000472096928456,-1.3048263769605828,-0.0001590998835478,1.0,146.5952723696828,97.21958167292178,11.449149752035735,2400000.0,1170.0,noisy_observation,0.8542589126859775,0.0044527837052181,0.0038038301664454,,,,,,,,
thchs,2m,90,10,snr5,5.0,,,,15,2048,0.1,0.2,GWPE_K50_d2_i2,GWPE,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,,/hpc_stor01/home/yujie.xiong_sx/RIR-dereverb+CTF/floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,,6.610188206176339,7.043826986671748,0,,,,,10.750507359014591,,,,,noisy_observation,0.05317695416531396,0.0715759810143834,0.003806192661739248,,,,,42.31521917699138,True,1.0,/hpc_stor01/home/yujie.xiong_sx/RIR-dereverb+CTF/floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_1
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,Oracle_MINT,MINT-Reference,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-8.728873666936321,-4.4723146874841175,-19,,,,,13.49641484953463,,13.49641484953463,,,noisy_observation,1.6545942209242268,0.0022989504727755,0.0038038301664454,0.1323435657562728,0.0501870280212268,448.1987616489207,147.0,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,Unprocessed_ch1,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,100.0,203.2932163800168,0,,,,,,,,,,,,,,,,,,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,Unprocessed_ch2,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-2.44262223949338,0.8337257933233899,0,,,,,,,,,,,,,,,,,,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,Unprocessed_ch3,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-3.380810120225568,0.1740776918521303,0,,,,,,,,,,,,,,,,,,,,,
thchs,2m,90,10,snr5,5.0,3.479611066196797e-06,floor4_room_data/original_10s_wav/2m_deg90_10.wav,floor4_room_data/sweep_groundtruth/2m_deg90_-1.wav,15,2048,0.1,0.2,Unprocessed_ch4,Unprocessed,not_computed_no_clean_reference,,not_computed_run_p808_after_audio_generation,150.0,floor4_real_recording_repeat_table_L2048_rho01_1m_2m_samples9_10_noisy_snr5_10_no_ss_reg0p2_repeats_1_20_rmsraw/2m/reg0p2/thchs/sample_10/deg90/snr5/repeats_15,12946.0,-4.577001795750394,-0.1113235476802737,0,,,,,,,,,,,,,,,,,,,,,
